name	category	relevance	country_iso	x	y
Carlsberg	Building	93	DE	-0.2459132981851531	-0.6670318885522938
Burg Eltz	Castle	433	DE	0.2157665792104629	-0.13601428602749438
Burg	Castle	63	DE	-0.3388316993188454	-0.7148413450743356
Altenburg	Castle	61	DE	-0.2780980635477347	-0.7661826895791932
Schloss Linderhof	Castle	213	DE	0.015110067280869336	-0.5177455148552704
Bergen-Belsen concentration camp	Historical Site	696	DE	0.5362711535647926	0.23179720305736254
Wartburg	Castle	61	DE	-0.31766860453454215	-0.7637410521758725
Sababurg	Castle	94	DE	-0.29536218546953324	-0.7043301256335192
Rathaus	Building	65	DE	-0.2329694838038351	-0.7414791604313421
Reichsparteitagsgelände	Historical Site	261	DE	0.02667169524682553	-0.45289574935539084
Schloss Bürresheim	Castle	123	DE	-0.2368158564520192	-0.6220804196132623
Sanssouci	Castle	293	DE	-0.00486510825784301	-0.4416796947766798
Kölner Dom	Church	1483	DE	1.7012111747531689	1.516671362145748
Burg Meersburg	Castle	54	DE	-0.23289988479756543	-0.7459783457569583
Schloss Nymphenburg	Palace	347	DE	0.19428190840615156	-0.3169135197085742
Festung Marienberg	Castle	116	DE	-0.2044742379753567	-0.6667397461861079
Nürnberger Burg	Castle	167	DE	-0.11013461238828016	-0.6002908160362438
Sparrenburg	Castle	64	DE	-0.3626290065242918	-0.7403241018377823
Deutsches Technikmuseum Berlin	Museum	80	DE	-0.3116180261084851	-0.7815197132103607
Deutsches Historisches Museum	Museum	58	DE	-0.3437356849578819	-0.8164703342438503
Hanns-Martin-Schleyer-Halle	Building	87	DE	-0.22076626960958637	-0.6985774103635726
Porsche-Arena	Building	79	DE	-0.23224617218587074	-0.7111737310293272
Hundertwasserhaus	Building	274	DE	0.05292474229729872	-0.4066442565216295
Berlin Cathedral	Church	307	DE	0.014880714024148093	-0.4249880397883138
Forsthaus Falkenau	Building	292	DE	0.12593443415973754	-0.4031928913619096
Schloss Possenhofen	Palace	249	DE	0.05778257321912071	-0.4675778865147073
Schloss Johannisburg	Palace	64	DE	-0.2922609699667162	-0.7390629382825503
Hamburger Bahnhof	Museum	51	DE	-0.3543713286125253	-0.8271970885618845
Hufeisensiedlung	Building	74	DE	-0.3179907306899381	-0.7916687519823216
Orangerie	Castle	130	DE	-0.24100222838573182	-0.7019107696038059
Schloss Bellevue	Palace	253	DE	-0.06327022928417551	-0.5092568863185493
Schloss Charlottenburg	Palace	275	DE	-0.03216818362608699	-0.47392428989422414
Schloss Tegel	Palace	54	DE	-0.35302874054791583	-0.8215237550054406
Kunsthalle Hamburg	Museum	73	DE	-0.38548043436958634	-0.7527748397259925
Bavaria Filmstadt	Building	113	DE	-0.13935793678130182	-0.6850764054166796
European Central Bank	Building	478	DE	0.29557163453221996	-0.08249870037330276
Tonhalle Düsseldorf	Building	102	DE	-0.29867026087373316	-0.6537711833157142
Museum Ludwig	Museum	101	DE	-0.28916335433480195	-0.6564791832266709
Aquazoo – Löbbecke Museum	Museum	63	DE	-0.3558254328992072	-0.7149047316148542
Kunstakademie Düsseldorf	Museum	50	DE	-0.37351054225144154	-0.7355437326184425
Schloss Benrath	Castle	66	DE	-0.34738750780843286	-0.7113374734313384
Groß St. Martin	Church	66	DE	-0.33949788363479605	-0.7115262114699961
Porsche-Museum	Museum	64	DE	-0.25583622517401333	-0.7339471024477221
Staatsgalerie Stuttgart	Museum	62	DE	-0.25668760321171136	-0.7372979593282789
Ravensbrück	Monument	52	DE	-0.3758422997716935	-0.8259816032498991
Oktoberfest	Building	72	DE	-0.2004647395297349	-0.7498475546516961
Kirche	Church	104	DE	-0.23185803270127806	-0.6711675385309384
Weißenhofsiedlung	Building	148	DE	-0.13355918177086498	-0.6020295518441058
Charlottenburg Palace	Palace	226	DE	-0.10278187000719075	-0.5509751085771251
Europa-Center	Building	71	DE	-0.32510405503896195	-0.7951977192874895
Wikinger-Museum Haithabu	Museum	71	DE	-0.422207024245537	-0.7545315819455509
Gemäldegalerie Alte Meister	Museum	72	DE	-0.2739683648467887	-0.7921762433509987
Meißner Dom	Church	216	DE	-0.07250239744002933	-0.5627820831677098
Reichsburg Cochem	Castle	83	DE	-0.2878362984741438	-0.6838428340190814
Haus der Kunst	Museum	106	DE	-0.15163712307957075	-0.696894334828882
Schloss Friedenstein	Palace	74	DE	-0.29474028803054625	-0.7484680634224786
Maximilianeum	Palace	93	DE	-0.17003674384961878	-0.7174137849311775
Münchner Residenz	Palace	235	DE	0.03419209471649513	-0.49396881615304716
BMW Museum	Museum	116	DE	-0.13849976611487777	-0.680972742858711
Ulmer Münster	Church	753	DE	0.7578640056917958	0.3403715781043882
Altes Museum	Museum	68	DE	-0.3293609197423944	-0.8007782720693456
Alte Nationalgalerie	Museum	53	DE	-0.35101017183295613	-0.8243652645269828
Neues Museum	Museum	64	DE	-0.33516106515256083	-0.8070556041775716
Völkerschlachtdenkmal	Monument	589	DE	0.450597031549069	0.0370617217910135
Wannsee Conference	Museum	897	DE	0.8652619145193438	0.5062690945000061
Sankt Moritz	Church	66	DE	-0.22247921919701186	-0.7517293925648881
Mainz Cathedral	Church	51	DE	-0.3194711881760699	-0.7481313653844649
Lichtenstein	Castle	142	DE	-0.14394751429117378	-0.6454339923212855
Hafen	Building	105	DE	-0.2943030288448406	-0.6484855986139186
Ebersberg	Castle	102	DE	-0.20098038919820846	-0.6796735821042494
Crass	Castle	265	DE	-0.013448655629591553	-0.40977902382250686
Grafeneck	Castle	61	DE	-0.2436254471998835	-0.740293969192523
Schloss Wernigerode	Castle	142	DE	-0.22414900770473895	-0.646814054028609
Haus der Geschichte	Museum	144	DE	-0.13855406872377435	-0.6083369428627725
St. Joseph	Church	125	DE	-0.2552067040147042	-0.6182568548936795
Nürburg	Castle	95	DE	-0.2789667540890535	-0.6630904875785673
Städtische Galerie im Lenbachhaus	Museum	58	DE	-0.22104484231288798	-0.7721042334977508
Niederwalddenkmal	Monument	59	DE	-0.3107213398777661	-0.7305287664943759
Autobahnüberbauung Schlangenbader Straße	Building	70	DE	-0.3258263966567848	-0.79619418172704
Deutsches Architekturmuseum	Museum	60	DE	-0.30628465883646494	-0.7398003111375585
Munich Residenz	Museum	124	DE	-0.12569053512622944	-0.6684995962269674
